"","q","ID","Date","Area","uaa"
"1",38.6598612747023,"HighMain1","2023-02-24",3537.5,26.04
"2",37.5268888085729,"MidMain1","2023-02-24",3491.5,26.26
"3",36.1771441945218,"MidMain2","2023-02-24",3798,26.26
"4",28.5484849649499,"LowMain1","2023-02-24",4543,26.75
"5",31.76803461462,"HighMain1","2023-03-03",8308.19999999998,26.04
"6",36.6244931834299,"HighMain2","2023-03-03",7305.29999999999,26.04
"7",32.8209716401958,"MidMain1","2023-03-03",8006.60000000001,26.26
"8",33.639504937654,"MidMain2","2023-03-03",7996,26.26
"9",38.1841022183388,"LowMain1","2023-03-03",6904.89999999999,26.75
"10",36.1277505496058,"HighMain1","2023-03-10",7319.09999999998,26.04
"11",37.7770830751668,"HighMain2","2023-03-10",7045,26.04
"12",33.4641558049151,"LowMain1","2023-03-10",7967.5,26.75
"13",32.4898840385402,"LowMain2","2023-03-10",8126.40000000002,26.75
